ID,Sprint,Daty,Stream,Stream nazwa,Zadanie,Owner,Priorytet,Estymacja,Wplyw KPI,Zaleznosci (ID),Status poczatkowy,Brama reczna,Definition of Done,Prompt Claude Code
A1,Tydzień 1 (W1),1–7 cze (pon–niedz),A,SEO / Organic,"Keyword research top 20 PDP + gap analysis (Colostrigen, Immuno Lab) + mapa sezonowa fraz",CC+ / Hybryda,P1,8h,enabler (cały stream A),—,Do zrobienia,Weryfikacja ręczna przed Done,Mapa fraz primary+secondary per top 20 PDP; lista luk vs 2 konkurentów; tag sezonowy (odporność=jesień/zima). Zapis: research/keyword-map-2026.csv.,"W Claude Code: użyj senuto-mcp (domain=genactiv.pl, country_id=200, fetch_mode=topLevelDomain) — pobierz frazy dla top 20 produktów po sesjach z GA4. Dla każdej frazy: volume, pozycja, trudność. Zrób gap analysis vs colostrigen.pl i immunolab — frazy gdzie oni są w TOP10 a my nie. Otaguj frazy sezonowo (odporność=Q4/Q1). Wynik zapisz jako research/keyword-map-2026.csv (kolumny: pdp_url, primary_kw, secondary_kw, volume, our_pos, comp_gap, season)."
A2,Tydzień 1 (W1),1–7 cze (pon–niedz),A,SEO / Organic,"Pull SEO audit + plan bulk-fix (338 alt, 59 meta titles, 18 meta desc)",CC / Claude Code,P1,4h,enabler (SEO health),—,Do zrobienia,Weryfikacja ręczna przed Done,Eksport audytu z Shopify Extended; lista fixów z priorytetem; dry-run gotowy do odpalenia w W2.,"W Claude Code: odpal SEO audit z shopify-mcp-extended (scope=all). Wyeksportuj listę: obrazy bez alt (338), produkty bez meta title (59), bez meta description (18). Pogrupuj per typ i przygotuj payloady do bulk-update-seo (pamiętaj limit 25 items/wywołanie, użyj dry-run). NIE wykonuj jeszcze zapisu — tylko dry-run i raport co zostanie zmienione. Zapisz plan jako research/seo-fix-plan.md."
E1,Tydzień 1 (W1),1–7 cze (pon–niedz),E,Automatyzacja / LP,Spec review LP Generatora + test integracji Shopify Pages API + schema design,CC / Claude Code,P1,6h,enabler (throughput A+B),—,Do zrobienia,Weryfikacja ręczna przed Done,Config JSON schema zatwierdzony; auth Pages API działa; 1 strona testowa zdeployowana i edytowalna w panelu Shopify.,"W Claude Code: na bazie docs/MIGRATION_PLAN_ONLINE.md i sekcji LP Generator zweryfikuj config schema (lp_type, hero, sections[], seo, tracking). Przetestuj shopify_theme_api.py / Shopify Pages API: utwórz testową stronę /pages/lp-test z 1 sekcją hero, potwierdź że jest edytowalna w panelu Shopify (Online Store → Pages). Zwróć: status auth, ID strony, link, checklist co działa/co brakuje."
B1,Tydzień 1 (W1),1–7 cze (pon–niedz),B,Konwersja (CRO),Mobile UX audit — start + instalacja heatmap (Hotjar/Clarity),CC+ / Hybryda,P1,5h,enabler (CRO mobile),—,Do zrobienia,Weryfikacja ręczna przed Done,"Hotjar/Clarity live na aktywnym theme (GEN-6, ID 162539340108); nagrania startują; framework audytu (checklist mobile).","W Claude Code: wstaw snippet Microsoft Clarity do aktywnego theme przez shopify_theme_api.py (theme ID 162539340108) — najlepiej do layout/theme.liquid przed </head>, z backupem przed zmianą (komenda backup). Potwierdź instalację i zwróć link do podglądu. Część analityczną (audyt UX) robi specjalista CRO ręcznie."
C1,Tydzień 1 (W1),1–7 cze (pon–niedz),C,Klaviyo / Email,Setup segmentacji RFM w Klaviyo + szkielety copy kampanii,CC / Claude Code,P1,4h,enabler (email rev.),—,Do zrobienia,Weryfikacja ręczna przed Done,"Segmenty RFM utworzone (champions, loyal, potential, at-risk, hibernating) z baseline liczebności; 3 szablony copy gotowe.","W Claude Code: przez klaviyo-mcp utwórz segmenty RFM na bazie historii zamówień: Champions (recent+często+dużo), Loyal, Potential Loyalist, At-Risk, Hibernating, New. Zwróć liczebność każdego segmentu (baseline). Dodatkowo wygeneruj 3 szablony copy PL (newsletter edukacyjny, promo, restock) z {{ first_name|default:"""" }} i {% unsubscribe 'Anuluj subskrypcję' %}."
D1,Tydzień 1 (W1),1–7 cze (pon–niedz),D,Retencja / LTV,Research subskrypcji (Recharge/Bold/Skio) — shortlist + analiza kohort/hard userów,MAN / Ręcznie,P1,4h,enabler (subskrypcja VII),—,Do zrobienia,—,"Matryca porównawcza 3 apek (cena, funkcje, fit Shopify/Przelewy24, PL); rekomendacja 1 narzędzia; baseline retencji kohort. Decyzja do 1.07.",
A3,Tydzień 2 (W2),8–14 cze,A,SEO / Organic,Bulk fix alt textów (338) przez MCP,CC / Claude Code,P1,3h,organic indexation · +PLN 1–2K,A2,Zablokowane (zależność),Weryfikacja ręczna przed Done,100% pokrycia alt text; potwierdzone ponownym audytem; brak regresji.,"W Claude Code: wykonaj plan z research/seo-fix-plan.md dla alt textów. Generuj alt opisowo z nazwy produktu + kontekstu (PL, naturalne, z frazą gdy sensowne, bez keyword stuffing). Wykonuj bulk-update-seo partiami po 25, najpierw dry-run potem zapis. Po zakończeniu odpal ponowny audyt i potwierdź 100% pokrycia. Raport: ile zmieniono, przed/po."
A4,Tydzień 2 (W2),8–14 cze,A,SEO / Organic,Content/Copy engine v1 + generacja 1. partii (20–30 artykułów draft),CC / Claude Code,P1,ciągłe,content velocity (SEO),"A1, E2",Zablokowane (zależność),Weryfikacja ręczna przed Done,"Engine generuje artykuł z briefu+frazy (struktura H2/H3, schema FAQ, meta); 20–30 draftów w kolejce do QA medycznego.","W Claude Code: zbuduj content engine — funkcja: input(primary_kw, secondary_kw[], intent, produkt_powiązany) → output(tytuł SEO, meta description, artykuł 800–1200 słów PL z H2/H3, sekcja FAQ ze schema, wewnętrzne linki do PDP, CTA). Źródło fraz: research/keyword-map-2026.csv (tag season). Wygeneruj 20–30 draftów dla fraz odpornościowych (sezon Q4 — publikujemy latem, by zrankować przed jesienią). Zapisz do research/content-drafts/. NIE publikuj — czekają na QA medyczne (A6)."
E2,Tydzień 2 (W2),8–14 cze,E,Automatyzacja / LP,LP Generator v1 — szablony Liquid (product LP + condition LP),CC / Claude Code,P1,10h,enabler (LP throughput),E1,Zablokowane (zależność),Weryfikacja ręczna przed Done,"2 szablony renderują się z configu, deploy via Pages API, output w pełni edytowalny w panelu Shopify; zgodne z brand guidelines.","W Claude Code: zaimplementuj 2 szablony LP Generatora (Liquid): (1) product LP, (2) condition LP. Sekcje: hero, benefits_grid, product_showcase, testimonials (judge_me), faq (+schema), content_block, cta_banner. Kolory brand: #0066CC, CTA #EF3340, font Branding-medium. Deploy przez Pages API. Warunek krytyczny: po deployu strona MUSI być edytowalna w Shopify Pages (nie hardkoduj tak, by blokować edycję). Test: postaw /pages/colostrum-na-odpornosc i potwierdź edytowalność."
B2,Tydzień 2 (W2),8–14 cze,B,Konwersja (CRO),Mobile UX audit — raport + top 3 drop-off + hipotezy A/B layoutu,MAN / Ręcznie,P1,6h,enabler (A/B layout),B1,Zablokowane (zależność),—,Raport z 3 zpriorytetyzowanymi problemami mobile + hipotezy nowego layoutu + metryka sukcesu (CR mobile) + mockup wariantu.,
