"","","","","","ROADMAPA H2 2026 — CEL: +50% E-COMMERCE (PLN 334K/mies.)","","","","","","","",""
"","","","","","Baseline: PLN 222K/mies | Gap: +PLN 112K/mies | Repeat rate: 55% | Email share: 5.1% | Mobile CR: 2.09% | Subskrypcje: 0%","","","","","","","",""
"","","","Strumień","Typ","Lipiec","Sierpień","Wrzesień","Październik","Listopad","Grudzień","End goal (grudzień 2026)","","Uwagi / Rozliczenie z danych"
"","","","REVENUE TARGET","cel","PLN 254K (+14%)","PLN 275K (+24%)","PLN 310K (+39%)","PLN 310K (+39%)","PLN 400K (+80%)","PLN 310K (+39%)","PLN 334K/mies. średnio H2","","Bazowane na sezonowości 2025: wrz 333K, lis 348K. Z +50% uplift na BF/Q4"
"","","","","","","","","","","","","",""
"","","","Marketing Automation (Klaviyo)","deliverable","Post-purchase cross-sell (3 emaile, top 5 par produktowych z Shopify). Cel: +PLN 4K/mies","SMS pilot: porzucony koszyk + flash sale. Cel: 500 numerów, 15% CTR","Kampania sezonowa 'Powrót do zdrowia' (4 emaile + 2 SMS). Cel: PLN 15K revenue","Pre-BF popup 'Zapisz się → oferta 24h wcześniej'. Cel: +2000 subskrybentów","BF sequence 6 emaili: Teaser→VIP→Launch→Reminder→CyberMonday→LastChance + 3 SMS","'Nowy Rok Nowe Zdrowie' push + subskrypcja noworoczna. Cel: 200 nowych sub","Lista 14K (z 7.9K), email rev share 12% (z 5.1%), 14 flows (z 5), SMS baza 3.5K","","Welcome Series = PLN 259K (62% rev Klaviyo). Post-purchase i win-back praktycznie nie istnieją"
"","","","","deliverable","Porzucony koszyk v2: split na colostrum/fiberbiom/dermo, nowy layout. Cel: CR z 4.1% na 6%","Replenishment flow: auto-przypomnienie 30/60/90 dni po zakupie. Cel: +PLN 3K/mies","Predykcyjny churn: segment 90-dniowy + win-back. Cel: odzyskanie 5% churned","VIP early access flow (top 10% wydających). Cel: PLN 8K z flow","Post-BF konwersja jednorazowych kupców → subskrybenci. Cel: 150 nowych sub","Sunset flow: usunięcie 180-dniowych nieaktywnych. Cel: lista health >95%","","","Abandoned Cart obecny: 2247 odbiorców, 92 konwersje, PLN 27.8K — duży potencjał"
"","","","","deliverable","Kampanie 2x/tyg z segmentacją RFM (VIP/aktywni/zagrożeni). Cel: +PLN 5K/mies","Browse abandonment v2. Cel: CR z 0.9% na 2.5%","Kampanie 3x/tyg + 1 SMS. Cel: PLN 5K/mies rev z kampanii","5 szablonów email świątecznych (BF, Xmas, NY)","SMS BF: 3 wiadomości (early access, main, last chance). Cel: PLN 5K rev SMS","VIP roczne podziękowanie + preview Q1 2027","","","Obecna kadencja: 2-3 kamp/mies, śr. PLN 3.2K/kamp. Target: 8-12/mies"
"","","","","prace","Konfiguracja RFM w Klaviyo Segments. Placed Order metric: R6aTMS","Integracja SMS (RODO compliance). A/B test subject lines","Zaawansowana segmentacja + dynamic content blocks","Warmup IP na wysoki wolumen BF (10K+ wysyłek). A/B test popup","Monitoring deliverability w real-time. Fallback kampanie gotowe","Analiza wyników rocznych. Strategia email 2027","","",""
"","","","","prace","Copy templates dla kampanii cyklicznych. Layout newslettera per persona","Czyszczenie listy: nieaktywni 180d po sunset flow","Calendar kampanii Q4 + templatki","Stress test wolumenu wysyłki","Post-BF winback planning","List health assessment + 2027 plan","","",""
"","","","","","","","","","","","","",""
"","","","SEO","deliverable","Strategia SEO finalna: keyword × product mapping. 4 artykuły pod LLM. Cel: +2K sesji/mies","6 artykułów content hub (SIBO, IBS, probiotyki vs colostrum). Cel: +3K sesji","'Back to Health' content: 8 artykułów sezonowych. Top 25 LP pod snippets","Programmatic SEO v2: /colostrum-vs-[competitor]. Holiday keyword prep","Gift guides + 'najlepsze suplementy na prezent'. 'Colostrum Black Friday' frazy","'Nowy Rok Nowe Zdrowie' content. Audyt roczny SEO + plan 2027","Organic sessions +65% (9.7K→16K), CR 2.3% (z 1.74%), 44 blog posts, 0 SEO issues","","Organic = 20.5% revenue (PLN 570K/rok) ale CR tylko 1.74% vs 3.26% desktop"
"","","","","deliverable","Schema markup Product+FAQ+Breadcrumb na wszystkie PDP. Cel: rich snippets w 60 dni","Programmatic SEO: 10 stron /colostrum-na-[dolegliwość]. Cel: +3K sesji","Video embed YT na blog — colostrum edukacja. Cel: dwell time +30%","Technical audit + CWV all green. Cel: LCP <2.5s na mobile","Monitor rankingów daily. Quick content updates wg performance","colostrum.pl — ruch uzupełniający (nie kanibalizujący genactiv.pl)","","","457 SEO issues (415 high), 0.3% alt text — bulk fix z MCP (czerwiec). Lipiec = content"
